Card#,Version,Qty,Needed,Cardback,Discussion,@background,Title,Description,@cake,@vp-icon,vp,Scoring,pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,Shape,score,@score1,@score2,@score3,@score4,@score5,num_tiles,tile_file_1,tile_file_2,tile_file_3,tile_file_4,tile_file_5,tile_file_6,@tile1,@tile2,@tile3,@tile4,@tile5,@tile6,@central_tile_1,@central_tile_2,@central_tile_3,@central_tile_4
1,1,1,1,reward,,reward_bg.png,Lemon madeleine,xxx,patisserie_lemon_madeleine.png,vp.png,1,Lemon,Yellow,Yellow,,,,,I2,0,,,,,,2,tile_yellow.png,tile_yellow.png,,,,,,,,,,,tile_yellow.png,tile_yellow.png,,
2,1,1,1,reward,,reward_bg.png,Tarte au citron,xxx,patisserie_tarte_au_citron.png,vp.png,2,Lemon,Yellow,Yellow,Yellow,,,,I3,1,symbol_Lemon.png,,,,,3,tile_yellow.png,tile_yellow.png,tile_yellow.png,,,,tile_yellow.png,tile_yellow.png,tile_yellow.png,,,,,,,
3,1,1,1,reward,,reward_bg.png,Pink grapefruit tartelette,xxx,patisserie_pink_grapefruit_tartelette.png,vp.png,2,Lemon,Pink,Pink,Green,,,,I3,1,symbol_Lemon.png,,,,,3,tile_pink.png,tile_pink.png,tile_green.png,,,,tile_pink.png,tile_pink.png,tile_green.png,,,,,,,
4,1,1,1,reward,,reward_bg.png,Orange marmalade slice,xxx,patisserie_orange_marmalade_slice.png,vp.png,2,Lemon,Orange,Orange,Blue,,,,I3,1,symbol_Lemon.png,,,,,3,tile_orange.png,tile_orange.png,tile_blue.png,,,,tile_orange.png,tile_orange.png,tile_blue.png,,,,,,,
5,1,1,1,reward,,reward_bg.png,Lemon meringue pie,xxx,patisserie_lemon_meringue_pie.png,vp.png,4,Lemon,Pink,Yellow,Pink,,Yellow,,T,2,,,,symbol_Lemon.png,symbol_Lemon.png,4,tile_pink.png,tile_yellow.png,tile_pink.png,,tile_yellow.png,,tile_pink.png,tile_yellow.png,tile_pink.png,,tile_yellow.png,,,,,
6,1,1,1,reward,,reward_bg.png,Earl Grey financier,xxx,patisserie_earl_grey_financier.png,vp.png,3,Lemon,,Blue,Blue,Yellow,Yellow,,S,2,,,,symbol_Lemon.png,symbol_Lemon.png,4,,tile_blue.png,tile_blue.png,tile_yellow.png,tile_yellow.png,,,tile_blue.png,tile_blue.png,tile_yellow.png,tile_yellow.png,,,,,
7,1,1,1,reward,,reward_bg.png,Key lime & blueberry tart,xxx,patisserie_key_lime_&_blueberry_tart.png,vp.png,5,Lemon,Green,Blue,,Blue,Green,,O,3,symbol_Lemon.png,symbol_Lemon.png,symbol_Lemon.png,,,4,tile_green.png,tile_blue.png,,tile_blue.png,tile_green.png,,tile_green.png,tile_blue.png,,tile_blue.png,tile_green.png,,,,,
8,1,1,1,reward,,reward_bg.png,Blood orange tart,xxx,patisserie_blood_orange_tart.png,vp.png,3,Lemon,,Orange,Orange,Pink,Pink,,S,2,,,,symbol_Lemon.png,symbol_Lemon.png,4,,tile_orange.png,tile_orange.png,tile_pink.png,tile_pink.png,,,tile_orange.png,tile_orange.png,tile_pink.png,tile_pink.png,,,,,
9,1,1,1,reward,,reward_bg.png,Yuzu tart,xxx,patisserie_yuzu_tart.png,vp.png,5,Lemon,Green,Green,,Pink,Orange,,O,3,symbol_Lemon.png,symbol_Lemon.png,symbol_Lemon.png,,,4,tile_green.png,tile_green.png,,tile_pink.png,tile_orange.png,,tile_green.png,tile_green.png,,tile_pink.png,tile_orange.png,,,,,
10,1,1,1,reward,,reward_bg.png,Lime & Earl Grey drizzle cake,xxx,patisserie_lime_&_earl_grey_drizzle_cake.png,vp.png,4,Lemon,Blue,Green,Blue,,Green,,T,2,,,,symbol_Lemon.png,symbol_Lemon.png,4,tile_blue.png,tile_green.png,tile_blue.png,,tile_green.png,,tile_blue.png,tile_green.png,tile_blue.png,,tile_green.png,,,,,
11,1,1,1,reward,,reward_bg.png,Chocolate-orange truffle,xxx,patisserie_chocolate-orange_truffle.png,vp.png,1,Chocolate,Orange,Orange,,,,,I2,0,,,,,,2,tile_orange.png,tile_orange.png,,,,,,,,,,,tile_orange.png,tile_orange.png,,
12,1,1,1,reward,,reward_bg.png,Chocolate-cherry tart,xxx,patisserie_chocolate-cherry_tart.png,vp.png,2,Chocolate,Pink,Pink,Yellow,,,,I3,1,symbol_Chocolate.png,,,,,3,tile_pink.png,tile_pink.png,tile_yellow.png,,,,tile_pink.png,tile_pink.png,tile_yellow.png,,,,,,,
13,1,1,1,reward,,reward_bg.png,Chocolate-mint truffle,xxx,patisserie_chocolate-mint_truffle.png,vp.png,2,Chocolate,Green,Green,Blue,,,,I3,1,symbol_Chocolate.png,,,,,3,tile_green.png,tile_green.png,tile_blue.png,,,,tile_green.png,tile_green.png,tile_blue.png,,,,,,,
